word	sense_number	usage_note	definition
emboiter	3	[]	Suivre de très près.
aouter	1	[]	Changer, en parlant du temps typique du mois d'aout.
aouter	2	['domain:botanique']	Murir à la chaleur d'aout.
aouter	3	['domain:botanique']	Se durcir, en parlant des bois de l'année avec la formation des bourgeons.
arrioler	1	[]	En parlant d'un navire, voguer d'après le vent.
arrioler	2	[]	En parlant de la mer, n'avoir qu'une lame qui suit le cours du vent.
raffuter	1	[]	Aiguiser de nouveau un outil, réaffuter.
raffuter	2		Au rugby, pratiquer le raffut, c'est-à-dire écarter énergiquement l'adversaire avec la main libre ouverte lorsqu'on est en possession du ballon.
prendre garde	1		Agir avec prudence.
prendre garde	2		Avoir l'attention éveillée sur quelque danger, se précautionner contre lui, en garantir quelqu'un qui y est exposé.
prendre garde	3		Se méfier.
arrudir	1	['diachronic:vieilli', 'diafrequential:rare']	Devenir rude, incivil, barbare.
poireauter	1	[]	Attendre debout sans se déplacer, faire le poireau.
faire avancer le schmilblick	1	[]	Faire progresser un sujet.
branler dans le manche	1	['attitudinal:familier']	Avoir du jeu entre le manche et le fer pour un outil qui n'est pas solidement emmanché.
branler dans le manche	2	['sem:par extension', 'sem:figuré']	Ne pas être ferme dans le parti qu'on a choisi, dans la résolution qu'on a prise.
branler dans le manche	3		Être menacé de perdre sa fortune ou sa place, la faveur dont on jouit, etc.
branler au manche	1		Variante de branler dans le manche.
volleyer	1	[]	Au tennis prendre une balle à la volée.
volleyer	2	[]	Au rugby, faire une passe à un coéquipier comme le ferait un volleyeur, sans prendre possession du ballon à deux mains.
essuyer les plâtres	1		Inaugurer l'usage d'un bâtiment ; en être le premier usager.
essuyer les plâtres	2	['sem:par extension']	Subir les désagréments de ce qui est neuf, nouveau et mal fini.
tomber comme à Gravelotte	1	[]	Se dit quand il pleut fortement.
être debout	1		Se tenir verticalement, sur ses pieds ou sur ses bases.
être debout	2		Être hors du lit, être levé, éveillé.
être debout	3		Se dit d'édifices, de constructions, ou de toutes autres choses qui malgré les événements, le temps qui s'écoule, ne sont ni détruits, ni en ruines et n'ont pas disparu comme on l'aurait supposé.
être debout	4	[]	Se dit de nations, régimes, systèmes qui perdurent malgré les difficultés.
articulément	1		D'une manière articulée, distincte.
retransférer	1		Transférer de nouveau.
avoir son voyage	1	[]	Ne plus être capable d'endurer.
ne pas être sortable	1		Manquer de tenue, de savoir-vivre.
ne pas être sortable	2		Être dans un état dégoutant.
avoir une piastre à faire	1	[]	Pouvoir faire de l'argent avec un projet.
ne plus avoir une cenne	1	[]	Être en manque de fond, d'argent.
revaloriser	1		Redonner de la valeur, du prix à quelque chose ou à quelqu'un.
revaloriser	2	[]	Augmenter, majorer, relever.
binairement	1		D'une façon binaire.
dréger	1		Peigner le lin avec la drège.
dépiéter	1		Cotonner le drap, le rendre partout égal, uni.
se débiner	1	[]	S'enfuir, se sauver, se défiler, disparaître.
se débiner	2	[]	S'en aller, partir.
férier	1		Célébrer comme fête.
imminemment	1		D'une manière imminente, urgente.
impairement	1		En nombre impair.
inamicalement	1		D'une manière non amicale.
incisivement	1		D'une manière incisive, mordante.
inciviquement	1		D'une manière incivique.
indiligemment	1		D'une manière qui n'est pas diligente.
individuer	1	[]	Constituer l'individu, lui donner une forme individuelle.
infertilement	1		D'une manière infertile.
insalubrement	1		D'une manière qui n'est point salubre.
intègrement	1		D'une manière intègre.
irrépréhensiblement	1		D'une manière irrépréhensible.
linéalement	1		Par rapport aux lignes, d'une manière linéale.
lucrativement	1		D'une manière lucrative.
grappeter	1	['diachronic:vieilli']	Ramasser les raisins laissés par les vendangeurs.
miévrement	1		Variante orthographique de mièvrement.
zéroter	1		Effectuer un zérotage.
dézinguer	1		Pratiquer le dézingage, c'est-à-dire enlever le revêtement de zinc sur une pièce ou retirer le zinc contenu dans un autre métal ou alliage.
dézinguer	2	['attitudinal:familier']	Tuer, dessouder, flinguer.
dézinguer	3	['attitudinal:familier']	Démolir, mettre à mal, critiquer violemment.
enfoncer des portes ouvertes	1	['sem:figuré']	&amp;  Variante orthographique de enfoncer une porte ouverte.
jusqu'ici	1		Jusqu'à ce lieu-ci de l'énonciation.
jusqu'ici	2		Jusqu'à ce moment-ci de l'énonciation.
jusqu'alors	1		Jusqu'à ce temps-là ; jusqu'à ce moment-là. -
dans le même temps	1		Variante de en même temps.
en avoir ras le bol	1	[]	En avoir assez, en avoir marre, être dégoûté (de quelque chose).
à la queue leu leu	1		variante orthographique de à la queue leu-leu
la queue entre les jambes	1		Se dit d'une personne qui, après un échec ou un affront, s'éclipse sans demander son reste.
vieillarder	1		S'altérer en vieillissant, en parlant des vins.
tapageusement	1		D'une manière tapageuse.
sélectivement	1		D'une façon sélective.
succulemment	1		D'une manière succulente.
subversivement	1		D'une manière subversive.
statutairement	1		Selon les statuts d'une société.
médialement	1		D'une façon médiale.
nativement	1		D'une façon native.
sagacement	1		D'une manière sagace.
réavertir	1		Avertir une fois de plus.
redéjeuner	1		Déjeuner de nouveau.
rebannir	1		Bannir de nouveau.
ravissamment	1		D'une manière ravissante.
putativement	1		D'une manière putative.
mégoter	1		Négocier sur des détails inutiles (des mégots, métaphoriquement parlant), vouloir économiser mesquinement.
arroser la vendange	1	[]	Prendre au bas de la cuve le jus de raisin en fermentation et le verser par dessus la cuve sur le raisin qui bout.
toréer	1		Affronter le taureau lors d'une corrida.
toréer	2		Imiter les gestes du matador.
mégotter	1		Négocier sur des détails inutiles (des mégots, métaphoriquement parlant), vouloir économiser mesquinement.
palucher	1	[]	Masturber.
fonctionnariser	1		Donner le statut de fonctionnaire à quelqu'un.
fonctionnariser	2		Donner le statut de fonction publique à une entité.
être coincé	1	['sem:figuré']	Être mis dans l'impossibilité d'agir par une ou plusieurs pressions en sens contraire.
tirer son épingle du jeu	1		Se dégager adroitement d'une affaire.
auteuriser	1	[]	Faire de quelqu'un un auteur à part entière, le reconnaitre.
auteuriser	2	[]	Attribuer un auteur à une œuvre.
